성별,교급별,학년별,권역별,용돈,가중치,평생 도박 경험,지난 6개월 간 도박 지속 여부,지난 6개월 간 가장 많이 한 도박 유형,지난 6개월 간 가장 많이 한 도박 빈도,지난 6개월 간 도박을 통한 손익 여부,도박으로 인한 폐해_일상생활 문제,주변친구의 도박 행위 목격 및 청취 경험 여부,학교 내 도박문제 예방교육 경험 여부,청소년 도박문제 예방교육 필요성
2,1,2,1,3,489.92,2,99,99,99,99,99,2,2,2
1,1,2,1,3,546.58,2,99,99,99,99,99,1,1,3
2,1,2,1,2,489.92,2,99,99,99,99,99,2,1,4
1,1,2,1,2,546.58,2,99,99,99,99,99,2,1,4
2,1,2,1,1,489.92,2,99,99,99,99,99,1,1,3
1,1,2,1,4,546.58,2,99,99,99,99,99,2,2,3
1,1,2,1,2,546.58,2,99,99,99,99,99,2,1,3
1,1,2,1,2,546.58,2,99,99,99,99,99,2,2,4
2,1,2,1,3,489.92,2,99,99,99,99,99,2,1,3
2,1,2,1,1,489.92,2,99,99,99,99,99,2,1,3
2,1,2,1,2,489.92,2,99,99,99,99,99,2,1,3
2,1,2,1,2,489.92,2,99,99,99,99,99,2,1,4
1,1,2,1,3,546.58,2,99,99,99,99,99,2,1,3
1,1,2,1,1,546.58,2,99,99,99,99,99,2,1,2
2,1,2,1,2,489.92,2,99,99,99,99,99,1,1,3
1,1,2,1,1,546.58,2,99,99,99,99,99,1,1,4
1,1,2,1,2,546.58,2,99,99,99,99,99,2,2,3
1,1,2,1,2,546.58,2,99,99,99,99,99,2,1,4
2,1,2,1,3,489.92,2,99,99,99,99,99,2,1,2
1,1,2,1,2,546.58,2,99,99,99,99,99,2,1,3
2,1,2,1,3,489.92,2,99,99,99,99,99,2,1,3
1,1,2,1,3,546.58,2,99,99,99,99,99,2,1,4
2,1,3,1,2,1112.91,2,99,99,99,99,99,2,1,3
2,1,3,1,1,1112.91,2,99,99,99,99,99,1,1,4
2,1,3,1,2,1112.91,2,99,99,99,99,99,2,1,4
2,1,3,1,2,1112.91,2,99,99,99,99,99,2,1,3
1,1,3,1,1,1197.89,2,99,99,99,99,99,2,1,4
1,1,3,1,1,1197.89,2,99,99,99,99,99,2,1,4
2,1,3,1,2,1112.91,2,99,99,99,99,99,2,1,4
2,1,3,1,4,1112.91,2,99,99,99,99,99,2,1,4
2,1,3,1,2,1112.91,2,99,99,99,99,99,2,1,4
1,1,3,1,2,1197.89,2,99,99,99,99,99,2,1,2
1,1,3,1,4,1197.89,2,99,99,99,99,99,2,1,3
2,1,3,1,2,1112.91,2,99,99,99,99,99,2,1,3
1,1,3,1,2,1197.89,2,99,99,99,99,99,2,1,3
2,1,3,1,2,1112.91,2,99,99,99,99,99,2,1,3
2,1,3,1,2,1112.91,2,99,99,99,99,99,2,1,3
1,1,3,1,2,1197.89,2,99,99,99,99,99,2,1,3
1,1,3,1,3,1197.89,2,99,99,99,99,99,2,1,3
2,1,3,1,4,1112.91,2,99,99,99,99,99,1,1,2
2,1,3,1,1,1112.91,2,99,99,99,99,99,1,1,3
1,1,3,1,2,1197.89,2,99,99,99,99,99,2,1,4
1,1,3,1,1,1197.89,2,99,99,99,99,99,2,1,4
1,1,3,1,1,1197.89,2,99,99,99,99,99,2,1,4
1,1,3,1,2,1197.89,2,99,99,99,99,99,1,1,3
1,1,3,1,2,1197.89,2,99,99,99,99,99,1,1,4
2,1,3,1,2,1112.91,2,99,99,99,99,99,2,1,4
1,1,3,1,3,1197.89,2,99,99,99,99,99,2,1,3
2,1,1,1,2,888.89,2,99,99,99,99,99,1,1,3
1,1,1,1,2,801.48,2,99,99,99,99,99,2,1,4
1,1,1,1,2,801.48,2,99,99,99,99,99,2,1,3
2,1,1,1,3,888.89,2,99,99,99,99,99,2,1,4
1,1,1,1,7,801.48,2,99,99,99,99,99,2,1,4
2,1,1,1,1,888.89,2,99,99,99,99,99,2,1,4
2,1,1,1,2,888.89,2,99,99,99,99,99,1,1,4
1,1,1,1,2,801.48,2,99,99,99,99,99,2,1,3
1,1,1,1,1,801.48,2,99,99,99,99,99,2,1,4
1,1,1,1,2,801.48,2,99,99,99,99,99,1,1,4
2,1,1,1,1,888.89,2,99,99,99,99,99,2,1,3
